configuration: triangle     lattice dimensions: 500 * 500      Atom number: 250000
init: fm       iterations: 100 + 100      parameters: 1.0 (meV)
           Round        magnetism
               0              1.0
     Temperature        magnetism   susceptibility    specific heat          time(s)
            0.00         1.000000         0.000000         0.000000         0.553967
            5.00         1.000000         0.000000         0.000000         2.047357
           10.00         0.999998         0.000006         0.000156         2.067958
           15.00         0.999814         0.000231         0.004734         1.954581
           20.00         0.998006         0.002266         0.033585         2.048773
           25.00         0.991111         0.008552         0.073576         2.008402
           30.00         0.973597         0.037452         0.259370         2.055808
           31.00         0.967986         0.042905         0.238123         1.845687
           32.00         0.961410         0.055329         0.309614         1.984821
           33.00         0.953730         0.066564         0.364869         2.060886
           34.00         0.944983         0.084938         0.408069         2.037833
           35.00         0.933814         0.099723         0.384718         1.995132
           36.00         0.921025         0.170271         0.494462         1.973115
           37.00         0.905792         0.272827         0.804197         2.086065
           38.00         0.885860         0.246011         0.562682         2.094930
           39.00         0.859556         0.611185         1.002731         2.075249
           40.00         0.825799         0.698430         0.972568         2.121623
           40.40         0.810321         0.934750         1.057738         2.142049
           40.80         0.785117         0.598138         0.906873         2.121127
           41.20         0.763603         1.172802         0.914090         2.115432
           41.60         0.726472         0.750793         0.817460         2.170129
           42.00         0.667963         2.961353         1.127449         2.191340
           42.40         0.569838        10.465586         0.807938         2.138022
           42.80         0.433177        17.317053         0.705800         2.218530
           43.20         0.319923        16.285988         0.995176         2.168475
           43.60         0.225749        39.067094         0.660492         2.191755
           44.00         0.091129         8.461914         1.303346         2.249502
           44.40        -0.014659        14.508349         0.821342         2.224639
           44.80        -0.040599         5.163627         1.056236         2.269413
           45.00        -0.022428         5.935919         0.695315         2.283880
           46.00         0.003424         4.670998         0.987512         2.302952
           47.00         0.009178         6.822999         0.577671         2.224783
           48.00         0.004224         6.420843         0.563755         2.315125
           49.00        -0.005019         4.100745         0.513687         2.271789
           50.00        -0.003174         2.663313         0.488711         2.301964
