upchecd,date,bogosu,hang,amt
380725,20201231,11,2000,73798549000
380725,20201231,11,1300,59967177000
380725,20201231,11,1100,989045000
380725,20201231,11,1110,0
380725,20201231,11,1130,0
380725,20201231,11,1134,0
380725,20201231,11,1137,989045000
380725,20201231,11,1220,29101284000
380725,20201231,11,1221,0
380725,20201231,11,1225,29101284000
380725,20201231,11,1148,29101284000
380725,20201231,11,1150,24736740000
380725,20201231,11,1147,24736740000
380725,20201231,11,1180,1898583000
380725,20201231,11,1183,1898583000
380725,20201231,11,1410,0
380725,20201231,11,1415,0
380725,20201231,11,1420,890680000
380725,20201231,11,1200,2350845000
380725,20201231,11,1400,13831372000
380725,20201231,11,1390,563106000
380725,20201231,11,1320,2417403000
380725,20201231,11,1329,2417403000
380725,20201231,11,1340,8839195000
380725,20201231,11,1349,8839195000
380725,20201231,11,1350,2165380000
380725,20201231,11,1359,2165380000
380725,20201231,11,1370,409394000
380725,20201231,11,1372,409394000
380725,20201231,11,4000,1.56E+11
380725,20201231,11,3000,58130314000
380725,20201231,11,2111,3107000
380725,20201231,11,2106,3107000
380725,20201231,11,2120,1539659000
380725,20201231,11,2121,1539659000
380725,20201231,11,2147,56587548000
380725,20201231,11,3200,86166924000
380725,20201231,11,3110,7800435000
380725,20201231,11,3120,19087134000
380725,20201231,11,3140,43749609000
380725,20201231,11,3190,1535487000
380725,20201231,11,3199,13994259000
380725,20201231,11,3400,7002648000
380725,20201231,11,3210,0
380725,20201231,11,3220,1195319000
380725,20201231,11,3290,194277000
380725,20201231,11,3296,371392000
380725,20201231,11,3300,5241660000
380725,20201231,11,3600,4565992000
380725,20201231,11,2270,992385000
380725,20201231,11,2216,67401000
380725,20201231,11,2230,9986000
380725,20201231,11,2252,0
380725,20201231,11,2250,1162456000
380725,20201231,11,3610,2333764000
380725,20201231,11,5000,2.30E+11
380725,20201231,11,6000,44412904000
380725,20201231,11,5110,6599025000
380725,20201231,11,5114,6599025000
380725,20201231,11,5130,12520367000
380725,20201231,11,5132,12520367000
380725,20201231,11,5140,13385687000
380725,20201231,11,5144,3556146000
380725,20201231,11,5147,9829541000
380725,20201231,11,5150,424368000
380725,20201231,11,5153,424368000
380725,20201231,11,5160,432714000
380725,20201231,11,5164,432714000
380725,20201231,11,5180,7927017000
380725,20201231,11,5190,87571000
380725,20201231,11,5535,122000
380725,20201231,11,5193,5318000
380725,20201231,11,5199,122000
380725,20201231,11,5195,82253000
380725,20201231,11,5211,2932468000
380725,20201231,11,5219,2932468000
380725,20201231,11,5220,103687000
380725,20201231,11,7000,1934799000
380725,20201231,11,6050,31909000
380725,20201231,11,6109,731000
380725,20201231,11,6100,31909000
380725,20201231,11,6119,731000
380725,20201231,11,6200,150397000
380725,20201231,11,6258,12245000
380725,20201231,11,6255,150397000
380725,20201231,11,6400,1247752000
380725,20201231,11,6409,1247752000
380725,20201231,11,6600,503035000
380725,20201231,11,6640,503035000
380725,20201231,11,6700,1706000
380725,20201231,11,8000,46347703000
380725,20201231,11,8100,897514000
380725,20201231,11,8101,25000000000
380725,20201231,11,8102,100
380725,20201231,11,8110,778047000
380725,20201231,11,8111,5969782550
380725,20201231,11,8120,119467000
380725,20201231,11,8121,822886700
380725,20201231,11,8200,4403893000
380725,20201231,11,8210,4403893000
380725,20201231,11,8211,4403893000
380725,20201231,11,8400,1760408000
380725,20201231,11,8590,1760408000
380725,20201231,11,8600,-2029193000
380725,20201231,11,8540,190495000
380725,20201231,11,8541,190495000
380725,20201231,11,8619,-2219688000
380725,20201231,11,8300,1.78E+11
380725,20201231,11,8310,40855570000
380725,20201231,11,8311,450789000
380725,20201231,11,8312,40199966000
380725,20201231,11,8313,204815000
380725,20201231,11,8320,1.29E+11
380725,20201231,11,8321,510750000
380725,20201231,11,8322,332731000
380725,20201231,11,8325,91936458000
380725,20201231,11,8326,3100000000
380725,20201231,11,8327,33147360000
380725,20201231,11,8330,8401233000
380725,20201231,11,8332,15615018000
380725,20201231,11,8900,1.83E+11
380725,20201231,11,9000,2.30E+11
380725,20201231,11,9009,5969782550
380725,20201231,12,1000,1.66E+11
380725,20201231,12,1100,1.66E+11
380725,20201231,12,1190,0
380725,20201231,12,1195,0
380725,20201231,12,1500,1.66E+11
380725,20201231,12,1501,0
380725,20201231,12,1502,0
380725,20201231,12,2000,1.17E+11
380725,20201231,12,2305,1.17E+11
380725,20201231,12,2310,2473071000
380725,20201231,12,2320,1.17E+11
380725,20201231,12,2340,2417403000
380725,20201231,12,3000,49557772000
380725,20201231,12,4000,29038798000
380725,20201231,12,4100,2313592000
380725,20201231,12,4120,2178159000
380725,20201231,12,4150,135433000
380725,20201231,12,4200,2655776000
380725,20201231,12,4216,429725000
380725,20201231,12,4224,2226051000
380725,20201231,12,4300,4292044000
380725,20201231,12,4312,1316851000
380725,20201231,12,4316,759938000
380725,20201231,12,4319,896646000
380725,20201231,12,4322,1318609000
380725,20201231,12,4400,19777386000
380725,20201231,12,4410,17703909000
380725,20201231,12,4450,194890000
380725,20201231,12,4471,194890000
380725,20201231,12,4460,1878587000
380725,20201231,12,5000,20518974000
380725,20201231,12,5100,6474371000
380725,20201231,12,5101,507947000
380725,20201231,12,5103,129569000
380725,20201231,12,5105,167239000
380725,20201231,12,5111,5168930000
380725,20201231,12,5126,0
380725,20201231,12,5122,3000
380725,20201231,12,5123,306182000
380725,20201231,12,5115,194501000
380725,20201231,12,6000,6541422000
380725,20201231,12,6110,189301000
380725,20201231,12,6150,254791000
380725,20201231,12,6163,0
380725,20201231,12,6174,5494879000
380725,20201231,12,6260,9831000
380725,20201231,12,6250,592620000
380725,20201231,12,8000,20451923000
380725,20201231,12,8100,4836905000
380725,20201231,12,8160,15615018000
380725,20201231,12,9000,15615018000
380725,20201231,12,9001,15065719000
380725,20201231,12,9007,2299
380725,20201231,12,9009,2299
380725,20201231,13,3500,8401233000
380725,20201231,13,2000,-7213785000
380725,20201231,13,1100,30000
380725,20201231,13,1600,0
380725,20201231,13,1113,0
380725,20201231,13,1350,7213815000
380725,20201231,13,3000,15615018000
380725,20201231,13,4000,4723057000
380725,20201231,13,4500,4723057000
380725,20201231,13,5000,13124290000
380725,20201231,13,6000,13124260000
380725,20201231,13,6120,0
380725,20201231,13,6300,13124260000
380725,20201231,13,6301,1590640000
380725,20201231,13,6302,11533620000
380725,20201231,13,6310,13124260000
380725,20201231,13,6311,1590640000
380725,20201231,13,6312,11533620000
380725,20201231,13,6400,19.32
380725,20201231,13,6403,29.94
380725,20201231,13,6401,19.33
380725,20201231,13,6402,19.32
380725,20201231,13,6404,10.62
