configuration: square       lattice dimensions: 500 * 500      Atom number: 250000
init: fm       iterations: 100 + 100      parameters: 1.0 (meV)
           Round        magnetism
               0              1.0
     Temperature        magnetism   susceptibility    specific heat          time(s)
            0.00         1.000000         0.000000         0.000000         0.504780
            2.00         1.000000         0.000000         0.000000         1.753761
            4.00         1.000000         0.000000         0.000000         1.817169
            6.00         1.000000         0.000003         0.000024         1.846761
            8.00         0.999981         0.000119         0.000930         1.774804
           10.00         0.999811         0.000884         0.004662         1.776191
           12.00         0.999027         0.004210         0.020300         1.762040
           14.00         0.996891         0.011126         0.049488         1.781738
           16.00         0.992234         0.019753         0.069631         1.807369
           18.00         0.983237         0.047813         0.138646         1.796712
           20.00         0.967332         0.085658         0.228691         1.827884
           20.40         0.963023         0.102707         0.278777         1.784680
           20.80         0.958328         0.124904         0.299475         1.788809
           21.20         0.952408         0.149744         0.338075         1.818129
           21.60         0.946070         0.222352         0.402444         1.837744
           22.00         0.939138         0.139998         0.246588         1.918404
           22.40         0.931568         0.207131         0.354706         1.916601
           22.80         0.922756         0.327913         0.571598         1.870066
           23.20         0.912053         0.288432         0.505114         1.923197
           23.60         0.900061         0.498397         0.695829         1.897448
           24.00         0.885711         0.496190         0.511165         1.902197
           24.40         0.867826         0.837581         0.776178         1.893728
           24.80         0.846546         0.905125         0.949902         1.844195
           25.20         0.816450         1.345629         0.648804         1.870867
           25.60         0.779419         3.379432         1.384036         1.874131
           26.00         0.711383         3.586467         0.786024         1.930864
           26.40         0.617433         4.115093         0.775012         1.975978
           26.80         0.467331        28.099837         0.915889         1.944119
           27.20         0.201203        73.842517         1.205298         1.999770
           27.60         0.083164        18.534653         1.475953         1.961204
           28.00         0.016599        13.481047         0.752649         2.007283
           29.00        -0.002620         4.366486         0.603197         1.996210
           30.00        -0.003002        16.399429         0.707003         1.964883
           31.00         0.003226         7.974952         0.493771         2.030385
           32.00         0.001126         3.624554         0.376924         2.138055
           33.00         0.001152         6.676500         0.431503         2.131573
           34.00        -0.003723         3.372323         0.265453         2.086872
           35.00        -0.001596         4.177371         0.310431         2.083204
