league,livescore,whoscore,footballapi,fun88,bbc,infobetting,short,abbv,
epl,AFC Bournemouth,,AFC Bournemouth,,,,Bournemouth,,
epl,Aston Villa,Aston Villa,Aston Villa FC,,Aston Villa,Aston Villa,Aston Villa,AVL,
epl,Arsenal,Arsenal,Arsenal FC,,Arsenal,Arsenal,Arsenal,ARS,
epl,Brighton & Hove Albion,Brighton,Brighton & Hove Albion FC,,Brighton & Hove Albion,Brighton,Brighton,,
epl,Burnley,Burnley,Burnley FC,,Burnley,Burnley,Burnley,BUR,
epl,Cardiff City,,Cardiff City FC,,Cardiff City,,Cardiff,,
epl,Chelsea,Chelsea,Chelsea FC,,Chelsea,Chelsea,Chelsea,CHE,
epl,Crystal Palace,Crystal Palace,Crystal Palace FC,,Crystal Palace,Crystal Palace,C Palace,CRY,
epl,Everton,Everton,Everton FC,,Everton,FC Everton,Everton,EVE,
epl,Fulham,Fulham,Fulham FC,,Fulham,Fulham,Fulham,FUL,
epl,Huddersfield Town,,Huddersfield Town AFC,,Huddersfield Town,,Huddersfield,,
epl,Leeds United,Leeds,Leeds United FC,,Leeds United,Leeds,Leeds,LEE,
epl,Leicester City,Leicester,Leicester City FC,,Leicester City,Leicester,Leicester,LEI,
epl,Liverpool,Liverpool,Liverpool FC,,Liverpool,Liverpool FC,Liverpool,LIV,
epl,Manchester City,Manchester City,Manchester City FC,,Manchester City,Man City,Man City,MUN,
epl,Manchester United,Manchester United,Manchester United FC,,Manchester United,Man United,Man Utd,MCI,
epl,Newcastle United,Newcastle United,Newcastle United FC,,Newcastle United,Newcastle United,Newcastle,NEW,
epl,Norwich City,,Norwich City FC,,Norwich City,,Norwich,NOR,
epl,Sheffield United,Sheffield United,Sheffield United FC,,Sheffield United,Sheffield United,Shef Utd,SHU,
epl,Southampton,Southampton,Southampton FC,,Southampton,Southampton,Southampton,SOU,
epl,Tottenham Hotspur,Tottenham,Tottenham Hotspur FC,,Tottenham Hotspur,Tottenham,Spurs,TOT,
epl,Watford,,Watford FC,,Watford,,Watford,WAT,
epl,West Ham United,West Bromwich Albion,West Ham United FC,,West Ham United,West Ham,West Ham,WHU,
epl,West Bromwich Albion,West Ham,West Bromwich Albion FC,,West Bromwich Albion,West Bromwich,WBA,WBA,
epl,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers FC,,Wolverhampton Wanderers,Wolverhampton,Wolve,WOL,
ger,FC Koln,FC Koln,,,1. FC Köln,1. FC Koln,Koln,,KOE
ger,Arminia Bielefeld,Arminia Bielefeld,,,Arminia Bielefeld,Arminia Bielefeld,A Bielefeld,,DSC
ger,Augsburg,Augsburg,,,FC Augsburg,Augsburg,Augsburg,,FCA
ger,Bayern Munich,Bayern Munich,,,Bayern Munich,Bayern Munich,Bayern M,,FCB
ger,Borussia Dortmund,Borussia Dortmund,,,Borussia Dortmund,Borussia Dortmund,Dortmund,,BVB
ger,Borussia Moenchengladbach,Borussia M.Gladbach,,,Borussia Mönchengladbach,Borussia Mönchengladbach,B Monchen,,BMG
ger,Eintracht Frankfurt,Eintracht Frankfurt,,,Eintracht Frankfurt,Eintracht Frankfurt,Frankfurt,,SGE
ger,Freiburg,Freiburg,,,SC Freiburg,Freiburg,Freiburg,,SCF
ger,Hertha Berlin,Hertha Berlin,,,Hertha Berlin,Hertha BSC,Hertha B,,BSC
ger,Hoffenheim,Hoffenheim,,,1899 Hoffenheim,Hoffenheim,Hoffenheim,,TSG
ger,Bayer Leverkusen,Bayer Leverkusen,,,Bayer 04 Leverkusen,Leverkusen,Leverkusen,,B04
ger,Mainz,Mainz 05,,,Mainz 05,Mainz 05,Mainz 05,,M05
ger,RB Leipzig,RB Leipzig,,,RB Leipzig,RB Leipzig,RB Leipzig,,RBL
ger,Schalke 04,Schalke 04,,,FC Schalke 04,Schalke 04,Schalke 04,,S04
ger,VfB Stuttgart,VfB Stuttgart,,,VfB Stuttgart,Stuttgart,Stuttgart,,VFB
ger,Union Berlin,Union Berlin,,,1. FC Union Berlin,Union Berlin,U Berlin,,FCU
ger,Werder Bremen,Werder Bremen,,,Werder Bremen,Werder,Werder,,SVW
ger,Wolfsburg,Wolfsburg,,,VfL Wolfsburg,Wolfsburg,Wolfsburg,,WOB
esp,Athletic Bilbao,Athletic Bilbao,,,Athletic Bilbao,Athletic Bilbao,Ath Bilbao,,
esp,Atletico Madrid,Atletico Madrid,,,Atlético Madrid,Atletico Madrid,Atl Madrid,,
esp,Barcelona,Barcelona,,,Barcelona,Barcelona,Barcelona,,
esp,Cadiz,Cadiz,,,Cádiz,Cádiz,Cadiz,,
esp,Celta Vigo,Celta Vigo,,,Celta Vigo,Celta Vigo,Celta Vigo,,
esp,Deportivo Alaves,Deportivo Alaves,,,Alavés,Alaves,Alaves,,
esp,Eibar,Eibar,,,Eibar,Eibar,Eibar,,
esp,Elche,Elche,,,Elche,Elche,Elche,,
esp,Getafe,Getafe,,,Getafe,Getafe,Getafe,,
esp,Granada,Granada,,,Granada,Granada CF,Granada,,
esp,Levante,Levante,,,Levante,Levante,Levante,,
esp,Osasuna,Osasuna,,,Osasuna,Osasuna,Osasuna,,
esp,Real Betis,Real Betis,,,Real Betis,Real Betis,Real Betis,,
esp,Real Madrid,Real Madrid,,,Real Madrid,Real Madrid,R Madrid,,
esp,Real Sociedad,Real Sociedad,,,Real Sociedad,Real Sociedad,R Sociedad,,
esp,Real Valladolid,Real Valladolid,,,Real Valladolid,Valladolid,Valladolid,,
esp,SD Huesca,SD Huesca,,,Huesca,Huesca,Huesca,,
esp,Sevilla,Sevilla,,,Sevilla,Sevilla,Sevilla,,
esp,Valencia,Valencia,,,Valencia,Valencia,Valencia,,
esp,Villarreal,Villarreal,,,Villarreal,Villarreal,Villarreal,,
fra,Angers,Angers,,,Angers,Angers,,,
fra,Bordeaux,Bordeaux,,,Bordeaux,Bordeaux,,,
fra,Brest,Brest,,,Brest,Stade Brestois,,,
fra,Dijon,Dijon,,,Dijon,Dijon,,,
fra,Lens,Lens,,,Lens,Lens,,,
fra,Lille,Lille,,,Lille,Lille,,,
fra,Lorient,Lorient,,,Lorient,Lorient,,,
fra,Lyon,Lyon,,,Lyon,Lyon,,,
fra,Marseille,Marseille,,,Marseille,Marseille,,,
fra,Metz,Metz,,,Metz,Metz,,,
fra,Monaco,Monaco,,,Monaco,Monaco,,,
fra,Montpellier,Montpellier,,,Montpellier,Montpellier,,,
fra,Nantes,Nantes,,,Nantes,Nantes,,,
fra,Nice,Nice,,,Nice,Nice,,,
fra,Nimes,Nimes,,,Nîmes,Nimes,,,
fra,Paris Saint-Germain,Paris Saint-Germain,,,Paris Saint Germain,Paris St. Germain,PSG,,
fra,Reims,Reims,,,Reims,Reims,,,
fra,Rennes,Rennes,,,Rennes,Rennes,,,
fra,Saint-Etienne,Saint-Etienne,,,Saint-Étienne,St. Etienne,,,
fra,Strasbourg,Strasbourg,,,Strasbourg,Strasbourg,,,
ita,AC Milan,AC Milan,,,AC Milan,Milan,,,
ita,Atalanta,Atalanta,,,Atalanta,Atalanta,,,
ita,Benevento,Benevento,,,Benevento,Benevento,,,
ita,Bologna,Bologna,,,Bologna,Bologna,,,
ita,Cagliari,Cagliari,,,Cagliari,Cagliari,,,
ita,Crotone,Crotone,,,Crotone,Crotone,,,
ita,Fiorentina,Fiorentina,,,Fiorentina,Fiorentina,,,
ita,Genoa,Genoa,,,Genoa,Genoa,,,
ita,Inter,Inter,,,Inter Milan,Inter,,,
