league,livescore,whoscore,footballapi,fun88,bbc,infobetting,short,abbv,
ita,Juventus,Juventus,,,Juventus,Juventus,,,
ita,Lazio,Lazio,,,Lazio,Lazio,,,
ita,Napoli,Napoli,,,Napoli,Napoli,,,
ita,Parma,Parma Calcio 1913,,,Parma,Parma,,,
ita,Roma,Roma,,,Roma,Roma,,,
ita,Sampdoria,Sampdoria,,,Sampdoria,Sampdoria,,,
ita,Sassuolo,Sassuolo,,,Sassuolo,Sassuolo,,,
ita,Spezia,Spezia,,,Spezia,Spezia,,,
ita,Torino,Torino,,,Torino,Torino,,,
ita,Udinese,Udinese,,,Udinese,Udinese,,,
ita,Verona,Verona,,,Hellas Verona,Verona,,,
